job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
Futbol Antrenörü,3620,2200,5210,Antrenörlük Eğitimi,Beden Eğitimi ve Spor Öğretmenliği,Spor Yöneticiliği,Rekreasyon Yönetimi,Spor Bilimleri,Eğitim,Yapı,Hizmet,Basım - Yayın,Gıda,Ege Üniversitesi,Anadolu Üniversitesi,Marmara Üniversitesi,Gazi Üniversitesi,Manisa Celal Bayar Üniversitesi,Futbol,Yüzme,Basketbol,Voleybol,Spor,6,0,507,87,13
Garson,2500,2020,3040,Turizm ve Otel İşletmeciliği (MYO),İşletme,İktisat,Turizm İşletmeciliği,Turizm İşletmeciliği ve Otelcilik,Gıda,Turizm,Eğlence - Kültür - Sanat,Hizmet,Bilişim,Anadolu Üniversitesi,Akdeniz Üniversitesi,Selçuk Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Bilgisayar,Microsoft Office,Futbol,Spor,Microsoft Office Word,962,20,100187,64,36
Gastroenteroloji Uzmanı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Gayrimenkul Danışmanı,3810,2020,5820,İşletme,Emlak ve Emlak Yönetimi (MYO),İktisat,Kamu Yönetimi,Dış Ticaret (MYO),Hizmet,Yapı,Danışmanlık,Gıda,Finans - Ekonomi,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Uludağ Üniversitesi,Ege Üniversitesi,AutoCAD,Genel Muhasebe,Muhasebe,Satış Yönetimi,0,26,332,5924,63,37
Gayrimenkul Değerleme Uzmanı,4110,2570,5660,İnşaat Mühendisliği,İşletme,Şehir Planlama,Harita Mühendisliği,İktisat,Hizmet,Yapı,Finans - Ekonomi,Danışmanlık,Gıda,Anadolu Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Selçuk Üniversitesi,Dokuz Eylül Üniversitesi,Gazi Üniversitesi,Adobe Photoshop,ArcGIS,AutoCAD,Bankacılık/Finans,Bireysel Portföy Operasyonu,129,308,2304,69,31
Gayrimenkul Eksperi,3540,2580,5610,İnşaat Mühendisliği,İşletme,Harita Kadastro (MYO),Şehir Planlama,İnşaat (MYO),Hizmet,Yapı,Finans - Ekonomi,Danışmanlık,Tarım / Ziraat,Anadolu Üniversitesi,Selçuk Üniversitesi,Dokuz Eylül Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Karadeniz Teknik Üniversitesi (KTÜ),AutoCAD,ideCAD Statik,İnşaat Muhasebesi,İşçi Sağlığı ve İş Güvenliği,Konut şantiyesi,5,0,210,60,40
Gayrimenkul Geliştirme Uzmanı,0,0,0,Şehir Planlama,Harita Mühendisliği,İnşaat Mühendisliği,İşletme,İşletme (İngilizce),Yapı,Hizmet,Telekomünikasyon,Perakende,Gıda,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Adobe After Effects,Adobe Photoshop,ArcGIS,AutoCAD,Fizibilite,0,0,65,54,46
Gayrimenkul Satış Danışmanı,3440,2020,5150,İşletme,İktisat,Emlak ve Emlak Yönetimi (MYO),Kamu Yönetimi,İşletme Yönetimi,Yapı,Hizmet,Danışmanlık,Turizm,Tekstil,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Dumlupınar Üniversitesi,Selçuk Üniversitesi,Adobe Photoshop,CorelDraw,Kalite Yönetim Sistemleri,Nebim Winner,Proje Yönetimi,11,42,1734,56,44
Gayrimenkul Yatırım danışmanı,0,0,0,İşletme,İktisat,Turizm ve Otel İşletmeciliği (MYO),Maliye,Dış Ticaret (MYO),Hizmet,Yapı,Danışmanlık,Finans - Ekonomi,Gıda,Anadolu Üniversitesi,Trakya Üniversitesi,Pamukkale Üniversitesi,Ankara Üniversitesi,Marmara Üniversitesi,Pazarlama Stratejisi,Satış Yönetimi,0,0,0,0,2,276,64,36
Gazeteci,2500,2020,3020,Gazetecilik,Radyo - Sinema ve Televizyon,Halkla İlişkiler ve Tanıtım,Radyo ve Televizyon Programcılığı (MYO),Uluslararası İlişkiler,Medya,Basım - Yayın,Hizmet,Bilişim,Eğitim,Anadolu Üniversitesi,Erciyes Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Gazi Üniversitesi,Adobe Illustrator,Adobe Photoshop,CorelDraw,Photoshop,Sosyal Medya Yönetimi,6,0,1010,42,58
Gece Bekçisi,2760,2020,3670,Kamu Yönetimi,İşletme,İktisat,Bilgisayar Programcılığı,Bilgisayar Teknolojisi ve Programlama (MYO),Güvenlik,Yapı,Gıda,Eğitim,Elektrik & Elektronik,Anadolu Üniversitesi,Eskişehir Osmangazi Üniversitesi,Kocaeli Üniversitesi,Giresun Üniversitesi,Çanakkale 18 Mart Üniversitesi,Adobe After Effects,Adobe Photoshop,İşçi Sağlığı ve İş Güvenliği,NETCAD,0,13,5,641,77,23
Gelir Uzman Yardımcısı,0,0,0,İktisat,İşletme,Maliye,Kamu Yönetimi,Uluslararası İlişkiler,Hizmet,Finans - Ekonomi,Turizm,Havacılık,Bilişim,İstanbul Üniversitesi (İÜ),Gazi Üniversitesi,Anadolu Üniversitesi,Dokuz Eylül Üniversitesi,Marmara Üniversitesi,Bilgisayar Ağları,BİLGİSAYARLI MUHASEBE,Genel Muhasebe,Vergi Mevzuatı,0,0,0,178,63,37
Gelir Uzmanı,3520,2700,4610,İşletme,İktisat,Maliye,Kamu Yönetimi,Çalışma Ekonomisi ve Endüstri İlişkileri,Hizmet,Finans - Ekonomi,Turizm,Havacılık,Bilişim,Anadolu Üniversitesi,Gazi Üniversitesi,İstanbul Üniversitesi (İÜ),Atatürk Üniversitesi,Selçuk Üniversitesi,Bankacılık/Finans,C#,Finansal tablo analizi,Genel Muhasebe,İnsan Kaynakları Yönetimi,5,0,219,72,28
Gemi İnşa Müdürü,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemi İnşa Mühendisi,5520,2500,8710,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,Gemi İnşa Mühendisliği,Deniz Teknolojisi Mühendisliği,Gemi İnşaatı (MYO),Gemi ve Deniz Teknolojisi Mühendisliği,Denizcilik,Hizmet,Maden ve Metal Sanayi,Yapı,Üretim / Endüstriyel Ürünler,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Karadeniz Teknik Üniversitesi (KTÜ),Varna Teknik Üniversitesi,Kocaeli Üniversitesi,Adobe Photoshop,Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,45,12,319,91,9
Gemi İnşa Teknikeri,4660,3000,6520,Gemi İnşaatı (MYO),Gemi Makineleri İşletme (MYO),Makine (MYO),Gemi İnşaatı ve Gemi Makineleri Mühendisliği,Makine-Resim-Konstrüksiyon (MYO),Denizcilik,Maden ve Metal Sanayi,Otomotiv,Taşımacılık,Üretim / Endüstriyel Ürünler,Kocaeli Üniversitesi,Balıkesir Üniversitesi,Çanakkale 18 Mart Üniversitesi,Ordu Üniversitesi,Bandırma Onyedi Eylül Üniversitesi,2D Autocad,3D Tasarım ve Modelleme Uygulaması,AutoCAD,Bilgisayar Destekli Tasarım Araçları,SOLIDWORKS,16,11,195,82,18
Gemi Kontrol Memuru,3710,2710,4700,Denizcilik İşletmeleri Yönetimi,İşletme,Deniz ve Liman İşletme (MYO),Denizcilik İşletmesi,Deniz Ulaştırma İşletme Mühendisliği,Denizcilik,Taşımacılık,Enerji,Tekstil,Tarım / Ziraat,Anadolu Üniversitesi,Bülent Ecevit Üniversitesi,Kocaeli Üniversitesi,Uludağ Üniversitesi,Dokuz Eylül Üniversitesi,İhracat Operasyon,Organizational Management,0,0,0,10,3,79,92,8
Gemi Makine Mühendisi,7050,3000,11110,Gemi Makineleri İşletme Mühendisliği,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,Gemi Makineleri İşletme (MYO),Makine Mühendisliği,Gemi Makineleri (MYO),Denizcilik,Taşımacılık,Enerji,Bilişim,Hizmet,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Piri Reis Üniversitesi,Kocaeli Üniversitesi,Dokuz Eylül Üniversitesi,AutoCAD,Catia V5,Hidrolik ve Pnömatik Sistemler,Otomasyon Sistemleri,Photoshop,20,1,240,88,12
Gemi Operasyon Memuru,3010,2550,3600,Deniz ve Liman İşletme (MYO),Denizcilik İşletmeleri Yönetimi,İşletme,İktisat,Dış Ticaret (MYO),Denizcilik,Taşımacılık,Ticaret,Hizmet,Otomotiv,Kocaeli Üniversitesi,Anadolu Üniversitesi,Dokuz Eylül Üniversitesi,Mustafa Kemal Üniversitesi,Dumlupınar Üniversitesi,İnsan Kaynakları Yönetimi,Lojistik,Yönetim Muhasebesi,0,0,6,1,247,93,7
Genel Cerrahi Uzmanı,7820,4000,12070,Tıp,Cerrahi Tıp Bilimleri,Endüstri Mühendisliği,Sağlık Eğitimi,İşletme,Sağlık,Hizmet,Sigortacılık,Eğitim,Üretim / Endüstriyel Ürünler,İstanbul Üniversitesi (İÜ),Ege Üniversitesi,Ankara Üniversitesi,Uludağ Üniversitesi,Hacettepe Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,16,10,599,83,17
Genel Koordinatör,6160,2280,10050,İşletme,İnşaat Mühendisliği,İktisat,Makine Mühendisliği,Kamu Yönetimi,Yapı,Hizmet,Gıda,Tekstil,Turizm,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Gazi Üniversitesi,Selçuk Üniversitesi,Adobe Photoshop,AutoCAD,Cari Hesap ve Finans Takibi,Hakediş Düzenlenmesi,İnsan Kaynakları Yönetimi,123,2,6579,72,28
Genel Muhasebe Uzmanı,3930,2470,5390,İşletme,Muhasebe (MYO),Muhasebe,İktisat,Maliye,Hizmet,Yapı,Gıda,Tekstil,Otomotiv,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Marmara Üniversitesi,Sakarya Üniversitesi,Bilanço analizi,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,ETA,Finansal Analiz,151,1,3999,50,52
Genel Müdür Yardımcısı,0,0,0,İşletme,Makine Mühendisliği,İktisat,Endüstri Mühendisliği,İnşaat Mühendisliği,Turizm,Yapı,Gıda,Bilişim,Hizmet,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Marmara Üniversitesi,AutoCAD,Çatışma Yönetimi,Fiyat Analizleri,Fizibilite,Hakediş Düzenlenmesi,0,32,4403,77,23
Genel Sekreter,3150,2020,4940,İşletme,Büro Yönetimi ve Yönetici Asistanlığı (MYO),Büro Yönetimi ve Sekreterlik (MYO),İktisat,Muhasebe (MYO),Yapı,Hizmet,Danışmanlık,Topluluklar,Sağlık,Anadolu Üniversitesi,Selçuk Üniversitesi,Atatürk Üniversitesi,İstanbul Üniversitesi (İÜ),Dumlupınar Üniversitesi,Genel Muhasebe,İnsan Kaynakları Yönetimi,Muhasebe,Proje Yönetimi,0,28,1,9484,15,85
Genel Yayın Yönetmeni,6000,2500,10520,Gazetecilik,İşletme,Radyo - Sinema ve Televizyon,Uluslararası İlişkiler,Sosyoloji,Medya,Basım - Yayın,Bilişim,Eğitim,Reklam ve Tanıtım,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Ankara Üniversitesi,Gazi Üniversitesi,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Google Adwords Kampanya Yönetimi,InDesign,9,0,583,62,38
Genetik Mühendisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Genetik Uzmanı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Geomatik Mühendisi,3690,2500,4950,Geomatik Mühendisliği,Harita Kadastro (MYO),Çevre Mühendisliği,Jeodezi ve Fotogrametri Mühendisliği,Kimya,Yapı,Hizmet,Bilişim,Elektrik & Elektronik,Finans - Ekonomi,İstanbul Teknik Üniversitesi (İTÜ),Bülent Ecevit Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Cumhuriyet Üniversitesi,Çanakkale 18 Mart Üniversitesi,ArcGIS,AutoCAD,MATLAB,MS Access,NETCAD,8,0,61,55,45
Geometri Öğretmeni,3920,2640,5200,Matematik,Matematik Öğretmenliği,Fizik,İlköğretim Matematik Öğretmenliği,Fen Bilgisi Öğretmenliği,Eğitim,Danışmanlık,Hizmet,Tekstil,Taşımacılık,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Gazi Üniversitesi,Ankara Üniversitesi,Bülent Ecevit Üniversitesi,C++,CSS3,Matematiksel Modelleme,MATLAB,Proje Yönetimi,27,9,624,52,48
Geoteknik Mühendisi,4190,2250,6240,İnşaat Mühendisliği,Jeoloji Mühendisliği,Maden Mühendisliği,Jeofizik Mühendisliği,Cevher Hazırlama Mühendisliği,Yapı,Hizmet,Maden ve Metal Sanayi,Elektrik & Elektronik,Enerji,Orta Doğu Teknik Üniversitesi (ODTÜ),İstanbul Teknik Üniversitesi (İTÜ),İstanbul Üniversitesi (İÜ),Dokuz Eylül Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),AutoCAD,Documentation,ideCAD Statik,MATLAB,Planlama ve bütçeleme tekniği,33,2,170,76,24
Gerontolog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gıda Ekstrüzyon Uzmanı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gıda Kontrolörü,2660,2430,3040,Gıda Teknolojisi (MYO),Gıda Mühendisliği,Gıda Kalite Kontrolü ve Analizi,Veteriner,Gıda Teknolojisi,Gıda,Hizmet,Turizm,Sağlık,Üretim / Endüstriyel Ürünler,Selçuk Üniversitesi,Afyon Kocatepe Üniversitesi,Uludağ Üniversitesi,Ankara Üniversitesi,Süleyman Demirel Üniversitesi,Gıda Mevzuatı,ISO 22000 Gıda Güvenliği HACCP,0,0,0,5,1,382,46,54
Gıda Mühendisi,3100,2020,4290,Gıda Mühendisliği,Gıda Teknolojisi (MYO),Gıda Teknolojisi,Kimya,İşletme,Gıda,Turizm,Hizmet,Üretim / Endüstriyel Ürünler,Eğitim,Manisa Celal Bayar Üniversitesi,Ege Üniversitesi,Ondokuz Mayıs Üniversitesi,Pamukkale Üniversitesi,Atatürk Üniversitesi,AutoCAD,BRC,Gıda Mevzuatı,HACCP,ISO 22000 Gıda Güvenliği HACCP,502,144,7958,26,73
Gıda Teknikeri,2560,2020,3160,Gıda Teknolojisi (MYO),Gıda Teknolojisi,Gıda Kalite Kontrolü ve Analizi,Süt ve Ürünleri (MYO),İşletme,Gıda,Hizmet,Turizm,Üretim / Endüstriyel Ürünler,Sağlık,Uludağ Üniversitesi,Süleyman Demirel Üniversitesi,Afyon Kocatepe Üniversitesi,Namık Kemal Üniversitesi,Selçuk Üniversitesi,Analiz Yöntemleri,Gıda Mevzuatı,HACCP,ISO 22000 Gıda Güvenliği HACCP,ISO 9001,188,118,7658,20,80
Gıda Teknisyeni,3770,2020,6130,Gıda Teknolojisi (MYO),Gıda Teknolojisi,Gıda Kalite Kontrolü ve Analizi,Süt ve Ürünleri (MYO),Gıda Mühendisliği,Gıda,Hizmet,Turizm,Taşımacılık,Sağlık,Uludağ Üniversitesi,Namık Kemal Üniversitesi,Kocaeli Üniversitesi,Adnan Menderes Üniversitesi,Ege Üniversitesi,Gıda Mevzuatı,HACCP,ISO 22000 Gıda Güvenliği HACCP,Laboratuvar,Mikrobiyoloji,11,20,577,26,75
Girişimci,6190,3120,9270,İşletme,İktisat,Endüstri Mühendisliği,Maliye,İşletme (İngilizce),Finans - Ekonomi,Bilişim,Ticaret,Danışmanlık,Hizmet,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Gazi Üniversitesi,CSS,Dijital Pazarlama,İş ve süreç analizi,MATLAB,Müşteri Hizmetleri Operasyon Yönetimi,7,0,415,68,32
Gişe Memuru,2920,2020,3810,İşletme,İktisat,Kamu Yönetimi,Maliye,Bankacılık ve Sigortacılık (MYO),Finans - Ekonomi,Taşımacılık,Hizmet,Denizcilik,Turizm,Anadolu Üniversitesi,Selçuk Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Dumlupınar Üniversitesi,Sakarya Üniversitesi,Bankacılık/Finans,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,Genel Muhasebe,108,1,4093,38,62
Gizli Müşteri,3060,2300,4280,İşletme,İktisat,Kamu Yönetimi,Maliye,Çalışma Ekonomisi ve Endüstri İlişkileri,Hizmet,Danışmanlık,Tekstil,Gıda,Reklam ve Tanıtım,Anadolu Üniversitesi,Dokuz Eylül Üniversitesi,Kocaeli Üniversitesi,Uludağ Üniversitesi,İstanbul Üniversitesi (İÜ),Bilanço analizi,İnsan Kaynakları Yönetimi,Mali tablolar analizi,Pazarlama Stratejisi,SPSS,5,0,302,55,45
Göğüs Hastalıkları Uzmanı,17000,15000,20970,Tıp,Biyoloji,İşletme,Bilgisayar - Enformatik,Akıllı Sistemler Mühendisliği,0,0,0,0,0,İstanbul Üniversitesi (İÜ),Gazi Üniversitesi,Hacettepe Üniversitesi,Ankara Üniversitesi,Ege Üniversitesi,SPSS,0,0,0,0,4,6,158,45,55
Gömülü Sistem Mühendisi,4520,2410,6620,Elektrik/Elektronik Mühendisliği,Elektronik ve Haberleşme Müh.,Mekatronik Mühendisliği,Elektronik Mühendisliği,Bilgisayar Mühendisliği,Elektrik & Elektronik,Bilişim,Üretim / Endüstriyel Ürünler,Otomotiv,Hizmet,Kocaeli Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Marmara Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Eskişehir Osmangazi Üniversitesi,Altium Desinger,C,C Programming Language,C#,C++,45,43,197,93,7
Gömülü Yazılım Mühendisi,5740,2300,9240,Elektrik/Elektronik Mühendisliği,Elektronik ve Haberleşme Müh.,Bilgisayar Mühendisliği,Elektronik Mühendisliği,Mekatronik Mühendisliği,Elektrik & Elektronik,Bilişim,Üretim / Endüstriyel Ürünler,Telekomünikasyon,Enerji,Orta Doğu Teknik Üniversitesi (ODTÜ),Kocaeli Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Anadolu Üniversitesi,Altium Desinger,C,C Programming Language,C#,C++,115,316,506,90,10
Görsel Düzenleme / Sunum / Tasarım Elemanı,2840,2020,3880,İşletme,Tekstil (MYO),Moda ve Tekstil Tasarımı,Maliye,Kamu Yönetimi,Tekstil,Ticaret,Perakende,Mobilya & Aksesuar,Reklam ve Tanıtım,Anadolu Üniversitesi,Marmara Üniversitesi,İstanbul Üniversitesi (İÜ),Beykent Üniversitesi,Dokuz Eylül Üniversitesi,3D Max,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,Adobe After Effects,Adobe Illustrator,20,0,538,46,54
Görsel Düzenleme / Sunum / Tasarım Sorumlusu,3200,2100,4300,İşletme,Moda Tasarımı,İktisat,Moda ve Tekstil Tasarımı,Grafik Tasarımı,Tekstil,Perakende,Ticaret,Reklam ve Tanıtım,Ev Eşyaları,Anadolu Üniversitesi,Gazi Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Dokuz Eylül Üniversitesi,3D Studio Max,Adobe Illustrator,Adobe Photoshop,AutoCAD,Photoshop,25,34,963,42,58
Görsel İletişim Uzmanı,5030,4000,6310,Görsel İletişim Tasarımı,Grafik Tasarımı,Grafik Tasarımı (MYO),Basın ve Yayın,İletişim Tasarımı,Reklam ve Tanıtım,Tekstil,Perakende,Kimya,Bilişim,İstanbul Aydın Üniversitesi,Marmara Üniversitesi,İzmir Ekonomi Üniversitesi,Anadolu Üniversitesi,Gazi Üniversitesi,Adobe After Effects,Adobe Dreamweaver,Adobe Flash,Adobe Illustrator,Adobe Photoshop,8,1,110,50,50
Görsel Sanatlar Öğretmeni,2930,2180,3680,Resim-İş Öğretmenliği,Resim,Görsel Sanatlar,Geleneksel Türk El Sanatları,Güzel Sanatlar,Eğitim,Tekstil,Eğlence - Kültür - Sanat,Reklam ve Tanıtım,Hizmet,Marmara Üniversitesi,Gazi Üniversitesi,Dokuz Eylül Üniversitesi,Anadolu Üniversitesi,Uludağ Üniversitesi,Adobe Illustrator,Adobe Photoshop,CorelDraw,Grafik Tasarım,Photoshop,81,24,1562,15,85
Görsel Tasarım Uzmanı,5200,2500,9530,Grafik Tasarımı,Görsel İletişim Tasarımı,Resim,Grafik Tasarımı (MYO),Resim-İş Öğretmenliği,Yapı,Tekstil,Bilişim,Reklam ve Tanıtım,Mobilya & Aksesuar,Anadolu Üniversitesi,Hacettepe Üniversitesi,Gazi Üniversitesi,Ege Üniversitesi,Dokuz Eylül Üniversitesi,3D Studio Max,Adobe After Effects,Adobe Dreamweaver,Adobe Flash,Adobe Illustrator,8,7,248,60,40
Görüntü Yönetmeni,5500,4500,6870,Radyo - Sinema ve Televizyon,Sinema ve Televizyon,Radyo ve Televizyon Programcılığı (MYO),Fotoğrafçılık ve Kameramanlık (MYO),Radyo ve Televizyon,Medya,Eğlence - Kültür - Sanat,Reklam ve Tanıtım,Basım - Yayın,Eğitim,Anadolu Üniversitesi,Marmara Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Süleyman Demirel Üniversitesi,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere,Adobe Premiere Pro,7,0,328,87,13
Göz Hastalıkları Uzmanı,14500,10000,20410,Tıp,Sağlık Eğitimi,Sağlık Kurumları İşletmeciliği,Sağlık,Hizmet,0,0,0,0,0,İstanbul Üniversitesi (İÜ),Hacettepe Üniversitesi,Ankara Üniversitesi,Marmara Üniversitesi,Gazi Üniversitesi,Bilgisayar Destekli Tasarım Araçları,İlaç Bilgisi,0,0,0,6,10,177,59,41
Gözetim Elemanı,2630,2300,2990,İşletme,İktisat,Uluslararası İlişkiler,Sosyoloji,Dış Ticaret (MYO),Güvenlik,Eğitim,Denizcilik,Hizmet,Havacılık,Anadolu Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Selçuk Üniversitesi,Adobe Dreamweaver,Adobe Photoshop,AutoCAD,0,0,19,58,806,72,28
Grafik Tasarım Uzmanı,3760,2340,5170,Grafik Tasarımı,Grafik Tasarımı (MYO),Bilgisayar Teknolojisi ve Programlama (MYO),Görsel İletişim Tasarımı,İşletme,Reklam ve Tanıtım,Basım - Yayın,Bilişim,Tekstil,Medya,Anadolu Üniversitesi,Marmara Üniversitesi,Beykent Üniversitesi,Gazi Üniversitesi,İstanbul Aydın Üniversitesi,Adobe After Effects,Adobe Dreamweaver,Adobe Flash,Adobe Illustrator,Adobe Photoshop,237,528,2071,55,45
Grafik Tasarımcı,3050,2020,4160,Grafik Tasarımı,Grafik Tasarımı (MYO),Grafik,Görsel İletişim Tasarımı,Tasarım ve Basım-Yayımcılık (MYO),Reklam ve Tanıtım,Basım - Yayın,Tekstil,Medya,Bilişim,Anadolu Üniversitesi,İstanbul Aydın Üniversitesi,Beykent Üniversitesi,Dumlupınar Üniversitesi,Marmara Üniversitesi,Adobe After Effects,Adobe Dreamweaver,Adobe Flash,Adobe Illustrator,Adobe Indesign,328,594,7309,42,58
Grafiker,2910,2020,3910,Grafik Tasarımı (MYO),Grafik Tasarımı,Tasarım ve Basım-Yayımcılık (MYO),Grafik (MYO),Bilgisayar Teknolojisi ve Programlama (MYO),Reklam ve Tanıtım,Basım - Yayın,Medya,Tekstil,Bilişim,Anadolu Üniversitesi,İstanbul Aydın Üniversitesi,Beykent Üniversitesi,Marmara Üniversitesi,Selçuk Üniversitesi,Adobe After Effects,Adobe Dreamweaver,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,282,580,10004,42,58
Greyder Operatörü,5980,4200,8550,Ä°ÅŸletme,Ä°nÅŸaat (MYO),°ÅŸletme (MYO),Türk Dili ve EdebiyatÄ±,Büro Yönetimi ve Yönetici AsistanlÄ±ÄŸÄ± (MYO),YapÄ±,Üretim / Endüstriyel Ürünler,TaÅŸÄ±macÄ±lÄ±k,Maden ve Metal Sanayi,BiliÅŸim,Anadolu Üniversitesi,Gaziantep Üniversitesi,Trakya Üniversitesi,DumlupÄ±nar Üniversitesi,Mersin Üniversitesi,Konut ÅŸantiyesi,Makina Operatörü,0,0,0,11,1,379,88,12
GSM Teknisyeni,2590,2250,2960,Elektronik Haberleşme (MYO),Elektronik Teknolojisi,Elektrik (MYO),Bilgisayar Programcılığı,İşletme,Telekomünikasyon,Elektrik & Elektronik,Bilişim,Otomotiv,Enerji,Anadolu Üniversitesi,Trakya Üniversitesi,İstanbul Aydın Üniversitesi,İstanbul Üniversitesi (İÜ),Düzce Üniversitesi,Adobe Flash,C++,Elektrik/Elektronik,Elektronik Kart Tamiri,Elektronik Tamir,9,8,459,92,8
Güç Aktarma Sistemleri Mühendisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Güç Sistemleri Mühendisi,4990,3500,8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Gümrük Memuru,3690,2080,5920,İşletme,Dış Ticaret (MYO),Uluslararası İlişkiler,İktisat,Maliye,Hizmet,Taşımacılık,Ticaret,Havacılık,Üretim / Endüstriyel Ürünler,Anadolu Üniversitesi,Trakya Üniversitesi,Gazi Üniversitesi,Sakarya Üniversitesi,Çanakkale 18 Mart Üniversitesi,Adobe Photoshop,Cari Hesap İşlemleri,Dış Ticaret,Gümrük mevzuatı,Tek düzen hesap planı,3,1,142,60,40
Gümrük Muhafaza Memuru,0,0,0,İşletme,İktisat,Uluslararası İlişkiler,Kamu Yönetimi,Maliye,Hizmet,Taşımacılık,Ticaret,Yapı,Denizcilik,Anadolu Üniversitesi,Uludağ Üniversitesi,Gazi Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Pamukkale Üniversitesi,Borçlar Hukuku,Dış Ticaret,Genel Muhasebe,Gümrük mevzuatı,Makro ekonomi,0,0,150,81,19
Gümrük Müşaviri,6990,5250,8740,İşletme,Dış Ticaret (MYO),Gümrük İşletme (MYO),İktisat,İthalat-İhracat (MYO),Hizmet,Taşımacılık,Ticaret,Danışmanlık,Üretim / Endüstriyel Ürünler,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Trakya Üniversitesi,Mustafa Kemal Üniversitesi,Depo Ve Lojistik Yönetimi,Dış Ticaret,Gümrük,Gümrük mevzuatı,İhracat işlemleri,52,13,473,76,24
